,coin,return,variance,cluster
0,BTC,1.1795252447004154,0.5660675115031122,0
1,ETH,1.5283691507753203,0.932080689875122,0
2,ADA,2.0574904485983203,1.3196143155679287,0
3,DOGE,3.5897128591270393,5.659476863854512,0
4,XRP,0.9729288535112285,1.5022619157669632,0
5,HEX,6.88451984816541,23.034453551885107,0
6,BCH,1.1535231040694345,1.4494542252427804,0
7,LTC,1.1444875888455,1.1079435797826447,0
8,LINK,2.617128300822828,1.9031067012563894,0
9,MATIC,11.119805387627505,199.00611792423362,1
10,THETA,2.9690511001706508,1.8839731555165182,0
11,XLM,1.0086429675897606,1.4422729203977143,0
12,VET,2.0967241995478796,1.7828063886235486,0
13,ETC,1.5721860524699964,1.4718015987091082,0
14,TRX,1.126419728281857,1.2570543107766377,0
15,FIL,4.641181203961321,12.882427254489901,0
16,XMR,1.1367531659918957,1.0009209962005665,0
17,EOS,0.8850410828305043,1.4613741994476774,0
18,ALGO,1.0704364355063214,1.3521806000918044,0
19,CRO,1.5551663558447457,2.5374084730819715,0
20,TFUEL,2.7240815589094134,3.198608938405324,0
21,BSV,1.2544176152565913,2.704896625210161,0
22,NEO,1.276513162770802,1.3266878534736168,0
23,XTZ,1.472035777419026,1.4778188669881915,0
24,MIOTA,1.0002222550298143,1.3132686319675715,0
25,LUNA1,1.5797762459993105,2.0273049332220645,0
26,MKR,1.9811407064788122,5.405112093949854,0
27,ATOM1,1.0844469282753701,1.7509960685150483,0
28,KSM,2.8730509232722605,2.015428945374542,0
29,BTT1,6.718235259383889,108.40675944498955,2
30,HBAR,1.3241368472443351,2.293936028181973,0
31,RUNE,12.385291721507528,271.63057269437815,1
33,WAVES,1.354905174760819,1.5807473640623788,0
34,DCR,1.261188395800896,1.0353907600414052,0
35,CEL,2.9713134198342197,1.9432381069520408,0
36,ZEC,0.9063996383295911,1.2713041348740928,0
37,DASH,0.8783973758706272,1.4153110528331219,0
38,HOT1,5.883759680948718,74.00896085108162,2
39,XEM,0.9558399235681655,1.4475514616902485,0
40,QNT,2.7509163034386885,3.2366613075009263,0
41,ZIL,1.4597979100674747,1.8385836008606544,0
42,ENJ,8.187812064980763,124.01550737356568,2
43,BAT,1.2724431927518383,1.3663324244097177,0
44,STX1,1.35154721048601,1.9548364852740379,0
45,MANA,5.866292980532567,71.15905844114081,2
46,SNX,4.166033498900605,9.92571004382579,0
48,ZEN,1.903383688071485,1.8209468840480418,0
49,BTG,1.3281500180431511,1.9879731521700852,0
50,NANO,1.7870006049152918,2.5960547861578456,0
51,BNT,1.4743417226404338,1.7138213336637145,0
52,DGB,1.5375514944679585,2.017421145854305,0
53,ONE2,2.8815337163756527,8.800405544166047,0
54,QTUM,1.2721167970215175,1.7321347906094984,0
55,ARRR,3.8685313663560965,4.913815366633064,0
56,ONT,0.8532352217254265,1.6105408167865713,0
57,SC,1.459787559911404,1.754807272163497,0
58,ZRX,1.0562709961549208,1.5578630406551752,0
59,OMG,1.3771067917026543,2.020049036739616,0
60,ANKR,7.549853850563737,129.73219974412996,2
61,ICX,1.3103806842713424,1.6291915798962944,0
62,RVN,1.5183919667083596,1.9984682547202954,0
63,BCD,1.4500656950174449,2.4756570622829406,0
64,XVG,1.45470843537486,2.053534472144752,0
65,CKB,0.9603557986714765,1.5419009140377815,0
66,IOST,1.5077924503530065,2.043409881945262,0
67,RSR,2.0381147859262247,3.3629629091048514,0
68,MAID,1.4958288869370302,1.7754755481091817,0
69,KNC,1.7601311627500624,1.7760007503082915,0
70,HNC,7.570179719242667,22.49719439082837,0
71,LRC,1.6817411652195366,2.0815364513658254,0
72,LSK,0.8892645517838828,1.4349446933016874,0
73,KAVA,1.771266720112498,5.448130791335229,0
74,VTHO,9.685229400561912,194.12222451213586,1
75,RLC,2.4358116681288724,2.8875663629138417,0
76,GNO,1.6931590111904584,1.3100943815609805,0
77,BAND,2.1998572855578296,3.6135309713061488,0
78,STORJ,2.068040616907962,3.6081731695926575,0
79,MCO,3.739765832595773,13.851064152924451,0
80,ABBC,2.2020571297938853,4.389079719087703,0
81,FUN,1.4733194215176737,1.8542385723284642,0
82,OXT,1.4017137831838025,6.14360338620243,0
83,WAXP,1.3998994361673054,2.1195306700161605,0
84,SNT,1.2605632619390832,1.847728558179367,0
85,FET,5.404704504931325,84.15116637348265,2
86,IOTX,1.2606861211017335,1.9990888362726822,0
87,NKN,2.3840902173877767,3.3969692497255877,0
88,ANT,1.9414154585414676,2.0864589384316687,0
89,REP,1.0457682671183592,1.7849313422192326,0
90,BTS,1.104318785342893,2.482229581698619,0
91,CVC,1.9134998421929132,3.2469135301978516,0
92,DERO,2.2587780476662003,2.6471034910159386,0
93,MLN,2.1417736710213884,2.640461003295005,0
94,TOMO,1.6650052174284915,2.037257360077458,0
95,AVA,6.046761885345248,68.05056193644342,2
96,ARDR,1.0649818506365647,1.5486368467423441,0
97,XHV,2.4677516730638733,3.044253094130277,0
98,ETN,0.8489445998635147,2.1609859395607676,0
99,BCN,5.164898425127337,17.820985926101525,0
